pmid,ref_list
6033576,"['13913207', '13621406']"
5637350,"['14485725', '13621406']"
1757764,"['5310138', '7427299', '3094626']"
5968972,"['13398435', '14340088', '14340090']"
4583021,"['13398436', '14436835', '4934520', '14340090', '4341704', '4394455', '4579004']"
4587254,"['4928015', '4591470', '4627928', '14127571', '4258796', '4580569', '4875809', '4342813', '5288365', '4935326']"
5413326,"['13889151', '5791607', '4181572', '4171054', '5766943', '5913303']"
4929867,"['4994599', '4860908', '14273650', '4874304', '5322723']"
6264018,"['1109230', '1003106', '233974', '1003105', '945806', '833542', '1081122', '1083424', '299886', '401862']"
4200650,"['5473607', '4264646', '4920597', '5283928', '5307809', '4169964', '4541554', '4538858', '4178111']"
766753,"['4747985', '1093178', '5158908']"
6614001,['6830716']
2813399,"['574143', '331320', '269439', '6966402', '4400052', '2971672', '3722386', '3033023', '1054823', '109833', '409735', '6412737', '2843568', '5002629', '6225428', '6943570', '3020543']"
7372714,"['914894', '344328', '1083421', '701356', '650151', '92524', '201645', '702050', '925079', '1244421']"
2869144,"['5352046', '6379151', '4850387', '813634', '54920', '311382', '6090649', '1156396', '5129269', '6943544', '6247487']"
14392237,"['19870979', '19869449', '19870257', '19869425', '19871342', '19870707', '19869424']"
299886,"['1127019', '945806', '233974', '1109230', '1003106', '1083424', '1081122']"
6308050,"['171657', '6943570', '6281794', '4758786', '4372293', '6954514', '6795635', '6449521', '6574511', '17620', '187622', '6460044', '1266944', '426037']"
6093775,"['5340539', '6611404', '5340538', '4375471', '1082506', '5046150', '6273550', '193098', '564692', '6089758', '6332622']"
315990,"['167099', '150426', '701356', '1254641', '701363', '201645', '305462', '126270', '233910']"
4084229,"['564692', '6611404', '7001464', '4152296', '6418245', '4900611', '6525174', '179091', '13981351', '2994073', '6093775', '6089758']"
13345771,"['19868830', '19869648', '13303998', '19869862', '13149737', '13303984']"
200917,"['803568', '1060124', '186037', '999652']"
315561,"['187622', '4400052', '1059102', '624905', '286325', '282607', '177979', '1054823', '299747']"
5288382,['4329562']
4717517,"['4336693', '4555405', '4570607', '4887519', '4935326', '4887520', '4919748', '4345849', '4565418']"
4359651,"['4399341', '4574689', '4902384', '14047235', '4937782', '4869213', '4572709', '4572708', '4945194', '4560065']"
2173565,"['2959279', '2900332', '238034', '3718485', '288060', '6089758', '1054517', '6604805', '2820378', '54920', '2138778', '5579652', '2959277', '2825180', '3064854']"
4608700,"['4583254', '4580563', '4364333', '14047235', '4551983', '4597453', '4333375', '4912521', '4564210', '4126826', '4945181', '4590465']"
201645,"['1202019', '172515', '925079', '914894', '811750', '1117030', '1141379']"
101211,"['1061124', '170607', '7240', '269380', '629745']"
4200724,"['5656394', '14485725', '4508336', '5129269']"
14164478,"['14068394', '14020969']"
4553837,"['4928006', '4942764', '14047235', '4256722', '14047236', '5337773', '4874307']"
7753822,"['186037', '2557001', '3034602', '204299', '219849', '3036081', '2840891', '8198555', '3036064', '230821', '2851999', '2543975', '1327760', '1323838']"
1097576,"['5771189', '162790', '1117030', '1113066']"
1133171,"['5428856', '4544056', '5639362', '14058267', '4168098', '4758659', '4264646', '4693646', '5283928', '4981709', '4538858']"
5801425,"['13938025', '14206424', '4227212']"
4864670,"['13698149', '5938816', '14164478', '14068394']"
1707970,"['5073238', '5494227', '813634', '2784673', '2451020', '6626166', '2457089', '6600842', '6379151', '2484209', '2842491', '1972190', '2458453', '2484210', '2561788']"
7640237,"['3426932', '8260381', '7459205']"
5775787,[]
6370241,"['6185958', '230821', '266704', '1156392', '73183', '7115317', '6956912', '228058']"
6292456,"['212599', '88048', '228058', '938474', '6283171', '6278417', '6262521']"
4986974,"['11526854', '14021124', '16992299', '14068394', '13758073', '13758074']"
13751592,['14404587']
14319404,"['14795439', '13930142']"
6107091,"['13961356', '570052', '1191416']"
13942447,"['13426088', '14033865', '13355867', '13149737', '13303984', '13345771', '13475222', '13513575']"
4154743,"['5058962', '6033576', '4347251', '16742833', '4391039']"
2513965,"['6830716', '6614008']"
5411753,"['13109154', '14342506', '13956365', '16562076']"
4357710,"['5775847', '4749276', '5495157', '4399518', '4331254', '4399517', '4331255', '4144294']"
5071929,"['5501007', '5316660']"
6090649,"['5046150', '5494227', '6379151', '238034', '13621406', '5840799', '4722896', '6611404', '24736', '4900611', '6817329', '6090646']"
10793698,"['16658380', '4329562']"
4160399,"['13912024', '14068394']"
994035,"['5503869', '5503873']"
4873020,"['13664676', '5324224', '13664677', '4168098', '14113076']"
13939962,['13894677']
4420778,"['13702406', '4555413', '4935326', '4345849', '4352176', '4559599', '4515610', '4343823', '4942914', '4515925', '4811009', '4717517']"
2649083,"['3925455', '2644235', '3469643', '575041', '6108560', '3019668', '269380', '5315962', '6262521', '3863100']"
5136466,"['4295331', '13814573', '4169964', '4179834', '5942999', '4962241', '4169739', '6050103']"
624905,"['5664206', '4566474', '4151956', '4357615', '71738', '1262475']"
1244421,"['1104745', '1117030', '167099', '1113066', '1097576']"
96438,"['169697', '5664206', '164667', '51031', '187622', '19499']"
357438,"['1117030', '1104745', '150426', '58959', '650151', '1113066']"
6826726,"['6035644', '7076844', '6933459', '6281794', '6068183', '1054823', '5775786', '187622', '6934537', '282607', '6310559', '6987662']"
5996,"['5129266', '4961416', '4156832', '4357711', '4357710', '4277624', '1098659', '4149273']"
19868830,['19868761']
19870978,"['19870855', '19869404', '19870707', '19870257', '19870148']"
4908671,"['4898984', '4895537', '4869215']"
14273650,['14205619']
4210210,"['13621405', '4154743', '5656394', '13938025', '5812469']"
19869449,[]
179533,"['4357711', '4878171', '4941570', '5551637', '4357710', '14342506', '5122805', '5920196']"
3741766,['7459241']
20499,"['4333358', '4900611', '5340538', '13621405', '6033576', '5765859', '13621406']"
4988128,"['13743575', '14021124', '5787344', '5766943', '4181538', '5662582']"
6604805,"['5579661', '5058962', '4545390', '6984069', '4868186', '1119538', '6817329', '6600842', '4900611', '18220', '306839']"
4869215,"['14205619', '5337773']"
6684122,"['92524', '1117030', '126270', '7251647', '344328', '6166621', '102729', '315987', '416168', '627836', '299880']"
14340090,"['13398575', '13376638', '14381435']"
4923074,"['5435498', '4308839', '4180008', '13549500']"
4894690,"['5646623', '14047236', '4875809']"
6274318,"['186036', '6779811', '597231', '1016244', '219849', '949336', '230821']"
4749276,"['4146799', '5775847', '14340088', '14342506', '14340090', '5774477', '13549500', '14340089']"
5688926,"['13938025', '14245345']"
1095565,"['4555414', '1094455', '1089638', '1092671', '4898984', '4879237', '4572709', '4167587', '5337773', '4275310', '4397929', '4555413', '4923076', '4580563']"
5808318,"['14245345', '5688926', '5685862']"
4169739,"['13035721', '13398975', '13222283', '14068394']"
13398437,['13319380']
6166005,"['743241', '228058', '4139705', '388427', '4854723', '192195']"
4102702,"['14209913', '4984383', '6055758', '4395204', '13998479', '4924107', '4099670']"
11161411,"['8520272', '3655620', '3418283', '5310138']"
4621686,"['14340089', '4923066', '4312544', '4983644', '5129266', '5495157', '4889268']"
13438910,"['13109153', '13357506']"
19869083,['19869059']
5844381,"['14485725', '14245345']"
5083460,"['4924107', '5289236', '5791607', '4164675', '14058267', '13398971', '5021704', '5570677']"
1099077,"['4887519', '1097416', '4860908', '4942764', '4887520', '1094455', '4901355', '1092658', '4559741', '1141201', '4867745', '125264', '4940379', '4399341', '1092652']"
4559594,"['4891262', '4555412', '4918356', '4550818', '4935321', '4552226', '5327904', '4943172']"
4312544,"['4884823', '6033537', '14381435', '14195611']"
172515,"['1097576', '126270', '1113066', '1141379', '1117030']"
13357506,['13319380']
4736774,"['5645848', '13889151', '4159050', '5430788', '4295331', '4964566', '5942999', '5913303', '14058267', '5766053']"
932212,"['14058267', '4984383', '5430788', '5576664', '5289236', '4544056', '5413326', '4295331', '14068394', '14461382', '4349948']"
6221744,"['6800388', '5676929', '7470339']"
4610567,"['4530310', '4636395']"
745132,"['5136466', '6034749', '30683', '737910', '5942999', '4559193', '4573426', '4675201', '956372', '641145', '592212']"
5837778,"['19871581', '19870621', '19870666', '13355867', '13426088', '14340044', '13303984', '14033865', '14340043']"
308030,"['4161820', '5083460', '4159050', '14022799', '5090066', '4337577', '4864670', '4964566', '641145', '956372', '4128546', '965492']"
19870377,"['19870090', '19868830', '19869520']"
4291442,['13851098']
6330691,"['6646125', '61588', '1016244', '6933549', '266726', '4333043', '7115317']"
13303998,"['19870943', '19871354', '19871032', '13149737', '16744547', '16744548']"
4267065,"['4900611', '5016949', '5352046', '14245345', '4621555']"
5340539,"['11526827', '13913207']"
2824656,"['416168', '6238974', '1141379', '701364', '2993471', '103883', '1097576', '650151', '1117030', '6229546', '344328', '702050', '315987', '357438', '701363', '3512757']"
4275310,"['4887520', '4907880', '4591481', '4360543', '4945192', '4912521', '4572709', '4572708', '4869213', '4945194', '4902384']"
849260,"['187173', '938474', '7240']"
4605206,"['4347245', '4887520', '4345920', '4590486', '4553849', '4606553', '4559593', '4630612', '4590485', '4591943', '4604639', '4563969']"
1092645,"['5337773', '1090576', '4595202', '4397929', '14047235', '4333375', '5541530', '4153616', '4570769', '4364333', '14047236', '4942762', '4869215', '4898984', '4912521']"
4355374,"['5289385', '4351807']"
5859021,"['14228505', '13944428']"
14060445,['13981351']
4399341,"['4939760', '4994599', '4397929', '4323966', '4919744']"
942401,"['4250239', '5498453', '4210210', '238034', '813634', '5129269', '1156396']"
49421,"['16742812', '4545390', '16742811', '13913207', '4152296', '4783095']"
4897112,"['13939962', '5337773', '13952722']"
1389714,"['6234908', '1772710', '6221744', '6107091']"
3922296,"['6700595', '486120', '4329561', '7115317', '8039', '575041', '7191691', '6777369', '575040']"
415107,"['58959', '1244421', '1202019', '126270', '131173']"
14209913,"['13398971', '13720937']"
168887,"['4569407', '5001205', '14273672', '4270946', '1090592', '5340507', '4923077', '4099097', '4941569']"
4541554,"['14164478', '4178111', '5787344', '4964566', '4648821', '5570677', '4169964', '5083460']"
7191427,"['300781', '1104745', '1244421', '1117030', '126270', '273062', '618900', '344328', '53265']"
4944625,['5269244']
13398971,['13035721']
14907625,[]
14329463,"['13952722', '14276126']"
4992992,"['4924198', '4872344', '13889151', '5787344', '4160398', '4163363', '5938816']"
4599123,"['4564210', '4209515', '4926684', '4939760', '14205619', '4583203', '4587613', '14047235', '4590486', '5337773', '4397929']"
416168,"['3509', '1202019', '58959', '1097576', '299880', '172515', '53265', '1083421']"
3282240,"['191640', '315561', '291068', '5002629', '6191326', '16749142', '3311265', '6237366', '6975347', '574143', '3020543', '7358851', '6630524', '4400052', '6208557', '3278316', '2434949']"
13463246,"['19869450', '19869556', '19870362', '19871342', '19869519', '19869449', '19870707']"
4160398,"['13814573', '14113076', '14068394']"
3462731,"['286325', '6193516', '6945600', '6281794', '6966402', '7229034', '6208557', '6087354', '6273845', '313568', '409735', '6095298', '6943570', '7076844', '3722386', '2989820']"
6287217,"['228058', '62360', '7283980', '192195', '6180296', '802513', '6933549']"
7354135,"['70433', '299747', '4530317', '191642', '169697', '331320', '288080', '4824289', '1081991', '1054823']"
6749861,"['1127019', '401862', '945806', '833542', '6264018', '1081122', '1109230', '299886', '1083424', '6802933']"
4580569,"['4919746', '4940379', '4579870', '4167587', '4884826', '4937784', '4934061', '4945192', '5327904']"
4601583,"['4515610', '4860908', '4336696', '4579874', '4167587', '4712575', '4336693', '4560697', '4914069']"
307007,"['641158', '186640', '169293', '4290983', '1266944', '186639', '1258974', '181401']"
6969778,"['415107', '775014', '53265', '131173', '58959', '126270', '701356']"
1681116,"['575041', '203926', '7378068', '597231', '802513', '4810778', '3925455']"
19870544,"['19870525', '19870335', '19870432']"
6933476,"['191639', '1059102', '4364409', '5771188', '331320', '191642', '388439', '313568']"
1092658,"['4583203', '4879237', '4591481', '4942756', '4258796', '4875809', '1089634', '1090584', '4919746', '1089631', '4902384', '4937784', '4580569', '4895537']"
202957,"['803566', '802513', '191809']"
13772904,['13715381']
4612003,"['4559741', '4579870', '4590486', '4919749', '4590473', '4577747', '4604508', '5327904', '4630612', '4945181', '4574689', '4126826', '4608700', '4590465']"
8460643,"['2564734', '1598904']"
1059152,"['1097390', '4551145', '4937782', '4928006', '4587605', '1092652', '125264', '1091625', '14077507', '4924969', '1101266', '4927673', '1089634']"
16659522,"['4928006', '4869214', '4811009', '4515610', '5288365', '4562404', '4591961', '4576230', '13702406', '4397929', '4902384', '4590486', '4897112', '14273640', '4559599', '4258796', '4600786']"
4878171,"['16742541', '4961416', '5920196']"
5795884,"['14340090', '4225884', '14340089', '5968972', '5656397']"
14247718,['14113076']
16744548,"['19869083', '19869011']"
5501007,[]
4630981,"['4325310', '4176227', '6033529', '5654401', '14164478', '5101779', '4169964', '5545124']"
2513964,"['6614001', '2564734']"
6966402,"['187622', '181401', '5338806', '4290983', '268636', '1258974', '315561', '4558009', '204932']"
73183,"['803566', '4332253', '170607', '266726']"
4207070,"['4519652', '4333043']"
6180296,"['7236203', '6797402', '7236202', '4636395', '11783', '1064875', '6933549']"
4564210,"['4869215', '5337773', '4942764', '4923076', '4895215', '4898984', '4559593']"
4563986,"['4923076', '4912521', '4942762', '4555414']"
19871402,"['19871085', '19871385', '19871177', '19871042', '19871389', '19871016']"
13475611,"['19869450', '19869449', '19871342', '19869404', '19869424', '19869425', '19870707']"
1081099,"['4962241', '4264646', '4539827', '14021124', '4200650', '4648821', '4539638', '4693646', '1080129', '1133171']"
18143584,"['19869937', '19869072', '19871093', '18873865', '19871418', '19871420']"
7193688,"['4530317', '4814896', '786400', '6987662', '10605441', '4447125', '1098043', '6933476', '4824289', '7354135', '566280']"
1141201,"['1092645', '1090576', '4991424', '1097392', '4199105', '4572709', '4605004', '4879237', '14205619', '1090584', '4934065', '1054851', '4811009', '4717517', '4420778']"
4914069,"['14273645', '4887519', '4879237', '4167587']"
5277075,"['14340089', '6033537', '4314476', '4180008', '5495157', '13549500']"
14459433,"['13641562', '13022850', '13367334', '13463248', '13575668', '13598814', '13824817', '13754097']"
4618479,"['5225522', '4554536', '4099097', '4149273', '4200725', '4146799', '16742541']"
3499139,"['2443667', '13621405', '3718485', '5352046', '5579661', '6332622', '6572915', '238034', '3931630', '564692', '560846', '3487314']"
3278316,"['1262475', '6787609', '6187012', '3494192', '3529084', '7076844', '6208557', '3462731', '6225428', '574143', '3085757', '3722386', '7358851', '3311265', '3020543', '2434949']"
13398974,['13035721']
6785748,"['16749142', '187622', '4944625', '5080705', '299747', '268636', '288080', '315561', '5824062', '6893455', '67179']"
4156360,"['4923077', '4403970', '4591960', '5775846', '4587250', '4569407', '13956365', '4153028']"
4945181,"['4898984', '14047235', '4869215', '4912521', '5541530']"
3799815,"['5049426', '6987662', '6035644', '4151956', '4758787', '6630524', '6421354', '4689513', '7358851', '4814897', '1266944', '6795635', '5338806', '3020543', '1124800']"
7429343,"['5639361', '14247718', '1165110', '5105952', '592212', '4758659', '14058267', '5766943', '4573426', '1133171', '5762048', '6040076']"
7236203,"['209453', '743241', '978798', '6933549', '11783', '999652']"
4515933,"['4341704', '5225522', '14222809', '5795884', '4922961', '5775846', '5775847']"
5112170,"['13758073', '5639361', '11526854', '5639362', '5428856', '16992297', '16992299', '16992298']"
454374,"['938474', '708376', '62360']"
7431249,"['13621405', '314510', '5840799', '1260175', '14284779', '1079536', '1082506', '4868186', '306839', '13621406']"
2104942,"['4854389', '6656760', '6319760', '3317405', '743241', '7236202', '7236203', '2302188', '6615424', '212599', '191809', '708376']"
19868762,[]
4207623,"['5662582', '5508376', '13664677', '4630981', '5289236', '4395204', '4198109', '5101779', '4693654']"
14042930,"['19870978', '19870148', '13785271', '19871581', '19869432', '13539304', '19870641']"
2277353,"['5557473', '2337492', '6626399', '7459162']"
4604763,"['4891262', '4572708', '4591943', '4591961', '4273171', '4874304', '4929867', '5322723', '4364333', '4587605', '4579870']"
833542,"['233974', '401862', '1081122', '1092700', '1003106', '1003105', '945806', '1083424']"
4145864,"['5656397', '4268097', '4342386', '13109154', '4314476']"
4814897,"['4566474', '5009975', '5049426']"
4604640,"['4560697', '6016896', '4167587', '5547996', '4359647', '4908671', '4559593', '4591955', '5547997', '4583254', '4914069', '4601583']"
4362915,"['5049426', '4133056', '4814897']"
171281,"['1054823', '164667', '4364409', '51031', '4355374']"
218198,"['4942408', '193098', '174544', '5549097', '14454674', '5126640', '14454675', '172531', '184464']"
267930,"['170607', '266726', '266704', '1061124']"
2443667,"['3883990', '1068456', '564692', '6984069', '4091808', '5129269', '659615', '1156396', '17386', '167718', '5579652', '2884101']"
4558662,"['4930242', '4902384', '4928006', '4937784', '4919746', '4258796', '5327904']"
1090570,"['4918356', '4943172', '4616954', '4570769', '4930242', '4884826', '4919748', '4528605', '4590480', '4928015', '4214778', '4728274', '4583233', '4935326']"
5968974,"['14195611', '14340089', '13357506']"
5337773,"['14205619', '14273645']"
5334538,"['14022799', '5844380', '14068394']"
574143,"['38260', '5054252', '286325', '1262475', '51031', '282607', '288080', '328516', '10605441']"
1008844,"['1220686', '4504350', '949336']"
6300662,"['203926', '6289804', '6278417', '7378068', '4332253', '4139705', '4504350']"
4997587,"['4962241', '13998479', '4098878', '14210764', '4181830', '4988128', '4168098', '5787344']"
14069792,['13938025']
4598002,"['4591955', '4891262', '4399341', '4559741', '4555412', '14273645', '4555414', '4929865', '4556462', '4555413', '4565418']"
377292,"['67179', '1262475', '171281', '4689513', '4426911', '329287', '5288762', '4262347', '4133056']"
8460635,"['2984924', '6614001']"
2991848,"['286325', '291068', '1258974', '4814897', '6987662', '1124800', '6960360', '6208557', '299747', '169293', '6943570', '6281794', '6095298', '7358851', '282607', '7076844']"
4583247,"['4107814', '4199105', '4912520', '4728274', '4928015', '4901355', '4919748', '4342813', '4576014']"
6175960,"['291909', '6278417', '228058', '269380', '191809', '202950', '212599']"
3426932,"['3814490', '6849791']"
4604597,"['14273645', '4590485', '4945194', '4591470', '4591955', '4553849', '4942756', '4336693', '4583203', '4167587', '4601583', '4914069']"
7197923,"['6777369', '291909', '4530310', '575041', '575040', '7378068']"
5312521,[]
14033865,"['13345771', '13426088', '13513575', '13355867', '13303998', '13475222', '13303984', '13149737']"
13587549,"['13549503', '13525435']"
6449521,"['191639', '6035644', '1124800', '204932', '288080', '426037', '331320', '191640', '307007']"
4527812,"['4728274', '13987374', '4576014', '4550672', '4628744', '4574693', '4552226', '4359647', '4712575', '4351810', '4515925', '4515610', '5271748']"
58959,"['126270', '1097576', '811750', '162790', '1113066', '1083421']"
4441366,"['4144294', '14898035', '14340089', '6048801', '5126909', '14381435', '13376638', '4749276', '16742541']"
6292235,"['1083424', '1081122', '1109230', '6749861', '1127019', '833542', '945806', '1003105', '1092700', '6796647']"
7241050,"['650151', '315987', '1097576', '701363', '7372714', '511932', '357438', '925079', '701356']"
6952258,"['5806399', '1156396', '7378066', '14206423', '13621405', '4267065', '13621406', '1082506', '7320872']"
19871032,"['19870414', '19869862', '19870666', '19870943', '19870890']"
4604726,"['4570769', '4559599', '4929855', '4945194', '4939760', '5327904', '4580559', '4912520', '4591481', '4934065', '4559593']"
13731717,[]
4123687,"['14176294', '4171055', '5283928', '13664676', '4179834', '4959010', '13664677', '4864670', '14164478']"
4579874,"['4939760', '4912520', '14047235', '4555413', '4399341', '14292991', '4867745', '4928006', '4574696', '4935321']"
3827881,"['6310590', '6525174', '6093775', '3487314', '3026311', '2994073', '3486656', '7441553', '3827851', '4084229', '6332622']"
816785,"['4929867', '1099077', '4601583', '4576014', '4943172', '1090571', '4397929', '5547996', '4156359', '4632321', '4559599', '4914069', '4215796', '4895537', '5288365']"
4250610,"['4884824', '13221780', '4291787', '14188732', '5679365', '13398435']"
14340044,"['19871420', '13355867', '19870463', '14042930', '13149737', '19870915', '13539304', '13942447', '14033865']"
4004778,"['743241', '6262521', '202950', '7236202', '62360', '7236203', '291909', '73183', '202957']"
4039107,['441996']
14208516,"['13376638', '14195611', '14066417']"
2140044,"['2967087', '3415873', '2803869', '7470339']"
2784673,"['6611405', '7264996', '2848495', '564692', '3064854', '6332622', '3499139', '3487314', '5340538', '560846', '7182478', '3663137', '6090649', '5340539', '3486656']"
4565531,"['4329731', '4397929', '4333375', '4919746', '4323297', '4256722', '4928016', '4552989', '4897112']"
164667,"['5824062', '5775787', '6035643', '4372293']"
5925318,"['13938025', '14222810']"
4327464,"['13938025', '13981351', '5812469', '14041948']"
5049426,['5009975']
2558168,"['6090649', '2900332', '1119538', '2457087', '3479980', '2457088', '2834737', '6747902', '7378065', '5765859', '6984069', '2458453']"
13999359,"['13011275', '13109153']"
5646621,"['14329463', '6016896']"
6769124,"['5344150', '172531', '192082', '4267065', '307249', '221905', '288060', '184464', '218198']"
212599,"['803566', '4211166', '191809', '203926', '269380']"
4928016,"['4908671', '4918356', '4919746', '4323297', '4897112']"
1090571,"['4550818', '4555414', '4359648', '4359647', '4553837', '4606851', '4574693', '4599123', '4368323', '4942914', '4275310', '5337773', '4591961']"
5344150,"['5765859', '6033576', '13621405']"
4160443,"['13035721', '14247718', '4160399']"
13990905,['13914195']
16742833,"['13981351', '5016949', '4333037', '4391039']"
361693,"['770450', '4565531', '4156359', '1099077', '299457', '1093137', '13952722', '4606553', '4929865', '5288365', '791929', '1090602', '816785', '4555412', '350851', '331321']"
180983,"['16562075', '4706189', '13438910', '4300067', '13999359', '13514006', '13449101', '5288387', '179533', '179532']"
5315962,['5288383']
3461460,"['6270369', '269380', '6615425', '7197923', '575041', '202957', '3925455', '170607', '6319760']"
13463248,"['19870257', '19870377', '19870707', '19870376', '19870464', '19871342', '19870596']"
212021,"['5775847', '180982', '5238663', '4598306', '4399518', '179533', '1212205', '5774477', '202265', '139891']"
13525435,"['13449101', '13438910']"
13539304,"['19870257', '19870148', '19871418', '19869169', '19869220', '19870979', '19870978', '19871581']"
4945194,"['4939760', '4887519', '4887520', '4869213', '4902384']"
19869586,"['19869083', '19869085']"
4331254,"['5774477', '4177737', '14195622', '13549500']"
51031,"['4255415', '4400052', '5449131', '164009', '4262347']"
5495157,"['4308839', '5822063', '13885712', '4983644']"
830791,"['1202019', '1244421', '811750', '1141379', '1113066']"
2581980,"['1083421', '1202019', '7251647', '6833366', '1141379', '701356', '7419598', '3921554', '6257726', '6822786', '830791', '1244421', '6183279', '3884631', '650151']"
16742812,"['5126640', '5058962', '5801425', '4942408', '4391041']"
4156359,"['13987374', '4574693', '4336696', '4923076', '4562404', '4560065', '4336689', '4576014', '4927673', '5288365']"
19870257,"['19869450', '19870148']"
2840891,"['6779811', '220959', '6274318', '3034602', '6293467', '2994628', '3028370', '3036064', '230821', '3036081']"
4153616,"['4928016', '4597453', '4869215', '4559593', '4927673', '4604639', '4565531', '4898984', '4570769', '4912521', '4908671', '4942762']"
6273845,"['288080', '315561', '329287', '5289385', '6893455', '191642', '4824289', '164667', '186640', '7229034', '5269244']"
1090576,"['4583233', '4912521', '4860908', '4583203', '5764338', '4604726', '4572720', '4350343', '4879237', '4929855', '4604640', '4604597', '4601583', '4914069']"
13514006,"['13221780', '13376638']"
16658380,['4329562']
5679366,"['14340088', '14340090', '4225884', '5639931']"
14329449,"['13987374', '14205619']"
4205352,['5126913']
4693646,"['5083460', '4337577', '13758074', '14461382', '4395204', '5473607', '4168098']"
4962241,"['13912024', '13814573', '14245436']"
4875809,"['14173001', '5237898']"
2434949,"['286325', '291068', '3529084', '7076844', '2991848', '10605441', '6787609', '574143', '204932', '181401', '6089177', '3722386', '3020543', '7358851', '6630524', '6208557']"
1449925,"['6234908', '7459162', '3756040', '1772710']"
782444,"['5001205', '127786', '1090592', '4923077', '4277624', '4268097', '4331255', '4941569', '5996']"
14276123,['14124314']
2933413,"['7061598', '6833366', '925079', '6457076', '131173', '775014', '6893451', '7372714', '2581980', '273062', '117075', '6799523', '167099', '3884631', '1113066', '3921554']"
19869072,['19868761']
3896234,"['6956912', '7283980', '7236203', '999652', '7236202', '11783', '6615426', '6615425', '6615424']"
4900611,"['14225256', '14222810', '6033576']"
1087642,"['5637350', '5767880', '813634', '11526827', '13751592', '14485725', '1082506']"
4879237,"['4875809', '14173001']"
1868826,"['2543975', '3035561', '803568', '3718473', '6262521', '3753440', '7115317', '2829834', '2818558', '2835398', '6319760', '2930462']"
14195611,"['14898034', '14066417']"
4919746,"['4884826', '4902384', '4875809']"
4556462,"['5337773', '4551983', '4553837', '4908671', '4929865']"
4922961,"['14907625', '13117816', '4918633', '5225522', '5340507']"
19869519,"['19869449', '19869450']"
162790,"['5771188', '4209578', '5771189', '4360946']"
19870641,"['19869404', '19870148', '19869085', '19869432']"
4824289,"['5289362', '5131013', '6035644']"
2457089,"['4621555', '2873240', '2959278', '2959280', '238034', '6090649', '14069795', '54920', '5129269', '5472171', '306839', '20499', '2451020', '2900892']"
1119538,"['4850387', '13621406', '5046147', '5046150', '13621405']"
3509,"['1104745', '126270', '1097576', '1141379', '53265']"
3223923,"['7197923', '266704', '486120', '3140780', '6300662', '2829834', '3545185', '3317405', '938474', '6278417', '3753440']"
6787602,"['288080', '277924', '4356572', '109833', '1081991', '5269244', '5044758', '169293', '629753', '6966402']"
14176294,"['13761024', '14058267']"
5656397,"['14342506', '13398435', '14340088', '5968972']"
2303035,"['6441888', '3463996', '203926', '1093178', '3010323', '6166005', '3718473', '6292456', '4360938', '6262521', '2690828']"
4939760,"['4860908', '4926684', '14273645', '5337773', '4397929']"
405872,"['5080705', '4374890', '4362915', '4447125', '169697', '1258974']"
5775846,"['13192314', '13398436', '5656397']"
4860908,"['5327904', '5337773']"
